Dátum,Regisztrált esetek száma,Új esetek száma,elhunytak,gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,Az új elhunytak száma naponta,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hátnapos csúszóátlag,Második oltás,Második oltás napi,Hétnapos csúszóátlag
2020-12-02,225209,4136,5142,65888,1850230,188799,,"1,87%","12,17%","11,88%",154179,"2,28%","29,26%",44318,14944,"27,68%",165,1086,7732,649,"68,46%",-152,-13,"5,01%","8,39%","1,375878628","1,14","5 648,57142857","146,85714286","17 200,85714286","40,03%",,,,,,
2020-12-03,231884,6635,5324,67033,1876274,191457,,"2,96%","12,36%","1,41%",159487,"2,30%","28,91%",50430,26044,"25,48%",182,1145,7693,663,"68,78%",-39,14,"4,82%","8,62%","1,301739358","1,20","5 687,85714286","156,42857143","16 367,28571429","40,82%",,,,,,
2020-12-04,238056,6212,5513,68525,1894753,193342,,"2,66%","12,56%","0,98%",164018,"2,32%","28,79%",53238,18479,"33,62%",189,1492,7812,639,"68,90%",119,-24,"4,76%","8,18%","1,218046037","1,24","5 662,00000000","164,14285714","16 006,28571429","41,27%",,,,,,
2020-12-05,243581,5525,5706,70396,1918043,195719,,"2,32%","12,70%","1,23%",167749,"2,34%","28,90%",53315,23290,"23,72%",193,1871,7695,637,"68,87%",-117,-2,"4,59%","8,28%","1,129110027","1,25","5 553,28571429","170,00000000","16 253,14285714","40,49%",,,,,,
2020-12-06,250278,6697,5868,71682,1941724,198135,,"2,75%","12,89%","1,23%",172728,"2,34%","28,64%",50283,23681,"28,28%",162,1286,7709,656,"69,01%",14,19,"4,46%","8,51%","1,049394752","1,24","5 535,85714286","170,85714286","17 306,00000000","38,56%",,,,,,
2020-12-07,254148,3870,5984,74283,1963148,200321,,"1,55%","12,95%","1,10%",173881,"2,35%","29,23%",51485,21424,"18,06%",116,2601,7932,674,"68,42%",223,18,"4,56%","8,50%","0,94483005","1,19","5 289,42857143","165,85714286","19 088,57142857","32,21%",,,,,,
2020-12-08,256367,2219,6120,75281,2158818,220288,,"0,87%","11,88%","9,97%",174966,"2,39%","29,36%",45542,9527,"23,29%",136,998,8045,656,"68,25%",113,-18,"4,60%","8,15%","0,9001275185","1,13","5 042,00000000","163,28571429","19 627,00000000","25,73%",,,,,,
2020-12-09,259588,3221,6280,76270,2187555,223220,,"1,26%","11,87%","1,33%",177038,"2,42%","29,38%",45957,28737,"11,21%",160,989,7945,661,"68,20%",-100,5,"4,49%","8,32%","0,8694739504","1,06","4 911,28571429","162,57142857","21 597,42857143","23,38%",,,,,,
2020-12-10,265003,5415,6451,77362,2216880,226212,,"2,09%","11,95%","1,34%",181190,"2,43%","29,19%",43923,29325,"18,47%",171,1092,7869,645,"68,37%",-76,-16,"4,34%","8,20%","0,8328268241","0,99","4 737,00000000","161,00000000","22 066,14285714","22,38%",,,,,,
2020-12-11,271200,6197,6622,78700,2245483,229131,,"2,34%","12,08%","1,29%",185878,"2,44%","29,02%",49524,28603,"21,67%",171,1338,7871,610,"68,54%",2,-35,"4,23%","7,75%","0,8362517031","0,94","4 734,85714286","158,42857143","23 512,42857143","20,67%",,,,,,
2020-12-12,276247,5047,6784,79769,2275935,232238,,"1,86%","12,14%","1,36%",189694,"2,46%","28,88%",49365,30452,"16,57%",162,1069,7807,610,"68,67%",-64,0,"4,12%","7,81%","0,8403261904","0,90","4 666,57142857","154,00000000","24 535,57142857","19,65%",,,,,,
2020-12-13,280400,4153,6965,80752,2301174,234814,,"1,50%","12,19%","1,11%",192683,"2,48%","28,80%",47486,25239,"16,45%",181,983,7646,606,"68,72%",-161,-4,"3,97%","7,93%","0,7773218756","0,86","4 303,14285714","156,71428571","24 758,14285714","17,96%",,,,,,
2020-12-14,283870,3470,7130,82546,2320419,236777,,"1,24%","12,23%","0,84%",194194,"2,51%","29,08%",43966,19245,"18,03%",165,1794,7667,605,"68,41%",21,-1,"3,95%","7,89%","0,8027332145","0,84","4 246,00000000","163,71428571","24 446,85714286","17,96%",,,,,,
2020-12-15,285763,1893,7237,83115,2393535,244238,,"0,67%","11,94%","3,15%",195411,"2,53%","29,09%",42752,10903,"17,36%",107,569,7845,597,"68,38%",178,-8,"4,01%","7,61%","0,832889443","0,83","4 199,42857143","159,57142857","24 643,42857143","17,11%",,,,,,
2020-12-16,288567,2804,7381,83940,2406171,245528,,"0,98%","11,99%","0,53%",197246,"2,56%","29,09%",42467,12636,"22,19%",144,825,7639,574,"68,35%",-206,-23,"3,87%","7,51%","0,8429273685","0,82","4 139,85714286","157,28571429","22 343,28571429","18,68%",,,,,,
2020-12-17,291549,2982,7538,86954,2424533,247401,,"1,03%","12,02%","0,76%",197057,"2,59%","29,82%",44248,18362,"16,24%",157,3014,7522,573,"67,59%",-117,-1,"3,82%","7,62%","0,8005669652","0,82","3 792,28571429","155,28571429","20 777,14285714","18,36%",,,,,,
2020-12-18,295977,4428,7725,89814,2456600,250673,,"1,52%","12,05%","1,32%",198438,"2,61%","30,34%",45075,32067,"13,81%",187,2860,7335,564,"67,05%",-187,-9,"3,70%","7,69%","0,7475561188","0,81","3 539,57142857","157,57142857","21 272,00000000","17,24%",,,,,,
2020-12-19,300022,4045,7914,93323,2480804,253143,,"1,37%","12,09%","0,99%",198785,"2,64%","31,11%",44010,24204,"16,71%",189,3509,7295,538,"66,26%",-40,-26,"3,67%","7,37%","0,7278209759","0,79","3 396,42857143","161,42857143","20 379,42857143","17,26%",,,,,,
2020-12-20,302989,2967,8099,97443,2504837,255596,,"0,99%","12,10%","0,97%",197447,"2,67%","32,16%",41445,24033,"12,35%",185,4120,7022,520,"65,17%",-273,-18,"3,56%","7,41%","0,7499170042","0,79","3 227,00000000","162,00000000","20 207,14285714","16,67%",,,,,,
2020-12-21,305130,2141,8282,102962,2520288,257172,,"0,71%","12,11%","0,62%",193886,"2,71%","33,74%",32486,15451,"13,86%",183,5519,7097,517,"63,54%",75,-3,"3,66%","7,28%","0,7152950676","0,77","3 037,14285714","164,57142857","19 665,14285714","16,07%",,,,,,
2020-12-22,306368,1238,8462,108676,2528225,257982,,"0,41%","12,12%","0,31%",189230,"2,76%","35,47%",35624,7937,"15,60%",180,5714,7124,522,"61,77%",27,5,"3,76%","7,33%","0,7009457069","0,76","2 943,57142857","175,00000000","19 241,42857143","15,82%",,,,,,
2020-12-23,308262,1894,8616,114631,2549464,260149,,"0,62%","12,09%","0,84%",185015,"2,80%","37,19%",29316,21239,"8,92%",154,5955,6727,495,"60,02%",-397,-27,"3,64%","7,36%","0,679630077","0,73","2 813,57142857","176,42857143","20 470,42857143","13,93%",,,,,,
2020-12-24,311554,3292,8729,120529,2575650,262821,,"1,07%","12,10%","1,03%",182296,"2,80%","38,69%",29019,26186,"12,57%",113,5898,6382,491,"58,51%",-345,-4,"3,50%","7,69%","0,7535975288","0,72","2 857,85714286","170,14285714","21 588,14285714","13,40%",,,,,,
2020-12-25,314164,2610,8833,123989,2597804,265082,,"0,84%","12,09%","0,86%",181342,"2,81%","39,47%",29961,22154,"11,78%",104,3460,6006,489,"57,72%",-376,-2,"3,31%","8,14%","0,7340275255","0,72","2 598,14285714","158,28571429","20 172,00000000","13,11%",,,,,,
2020-12-26,315362,1198,8951,126482,2607298,266051,,"0,38%","12,10%","0,37%",179929,"2,84%","40,11%",24878,9494,"12,62%",118,2493,6003,468,"57,05%",-3,-21,"3,34%","7,80%","0,6452155626","0,71","2 191,42857143","148,14285714","18 070,57142857","12,53%",,,,,,
2020-12-27,316060,698,9047,130420,2610590,266387,,"0,22%","12,11%","0,13%",176593,"2,86%","41,26%",24327,3292,"21,20%",96,3938,6072,467,"55,87%",69,-1,"3,44%","7,69%","0,578644473","0,69","1 867,28571429","135,42857143","15 107,57142857","13,79%",,,,,,
2020-12-28,316669,609,9161,134344,2615237,266861,,"0,19%","12,11%","0,18%",173164,"2,89%","42,42%",24327,4647,"13,11%",114,3924,6261,448,"54,68%",189,-19,"3,62%","7,16%","0,54275635","0,66","1 648,42857143","125,57142857","13 564,14285714","13,68%",1094,1094,,,,
2020-12-29,317571,902,9292,138365,2621427,267493,,"0,28%","12,11%","0,24%",169914,"2,93%","43,57%",21667,6190,"14,57%",131,4021,6298,444,"53,50%",37,-4,"3,71%","7,05%","0,5437029847","0,64","1 600,42857143","118,57142857","13 314,57142857","13,54%",2461,1367,,,,
2020-12-30,319543,1972,9429,144234,2639729,269360,,"0,62%","12,11%","0,70%",165880,"2,95%","45,14%",19496,18302,"10,77%",137,5869,6155,425,"51,91%",-143,-19,"3,71%","6,90%","0,5727849708","0,62","1 611,57142857","116,14285714","12 895,00000000","13,80%",3789,1328,,,,
2020-12-31,322514,2971,9537,150102,2657119,271135,,"0,93%","12,14%","0,66%",162875,"2,96%","46,54%",17704,17390,"17,08%",108,5868,5856,402,"50,50%",-299,-23,"3,60%","6,86%","0,5478630342","0,59","1 565,71428571","115,42857143","11 638,42857143","14,45%",5110,1321,,,,
2021-01-01,325278,2764,9667,157063,2675247,272984,,"0,86%","12,16%","0,68%",158548,"2,97%","48,29%",16421,18128,"15,25%",130,6961,5648,401,"48,74%",-208,-1,"3,56%","7,10%","0,6110958377","0,58","1 587,71428571","119,14285714","11 063,28571429","14,94%",6832,1722,,,,
2021-01-02,326688,1410,9781,163403,2685944,274076,,"0,43%","12,16%","0,40%",153504,"2,99%","50,02%",18239,10697,"13,18%",114,6340,5529,402,"46,99%",-119,1,"3,60%","7,27%","0,7383311604","0,59","1 618,00000000","118,57142857","11 235,14285714","15,02%",8554,1722,,,,
2021-01-03,327995,1307,9884,168381,2691904,274684,,"0,40%","12,18%","0,22%",149730,"3,01%","51,34%",16537,5960,"21,93%",103,4978,5619,403,"45,65%",90,1,"3,75%","7,17%","0,9130900467","0,64","1 705,00000000","119,57142857","11 616,28571429","15,13%",10277,1723,"1468,142857",,,
2021-01-04,328851,856,9977,174070,2700631,275575,,"0,26%","12,18%","0,32%",144804,"3,03%","52,93%",18794,8727,"9,81%",93,5689,5667,400,"44,03%",48,-3,"3,91%","7,06%","1,055724066","0,71","1 740,28571429","116,57142857","12 199,14285714","14,66%",12000,1723,1558,,,
2021-01-05,329721,870,10080,176576,2727896,278357,,"0,26%","12,09%","1,01%",143065,"3,06%","53,55%",20272,6521,"13,34%",103,2506,5760,394,"43,39%",93,-6,"4,03%","6,84%","1,084530929","0,79","1 735,71428571","112,57142857","12 246,42857143","14,48%",15000,3000,"1791,285714",,,
2021-01-06,331768,2047,10198,179541,2750625,280676,,"0,62%","12,06%","0,83%",142029,"3,07%","54,12%",20657,22729,"9,01%",118,2965,5646,396,"42,81%",-114,2,"3,98%","7,01%","1,083680525","0,86","1 746,42857143","109,85714286","12 878,85714286","14,23%",21000,6000,"2458,714286",,,
2021-01-07,334836,3068,10325,179541,2774915,283155,,"0,92%","12,07%","0,88%",144970,"3,08%","53,62%",21627,24290,"12,63%",127,3454,5387,367,"43,30%",-259,-29,"3,72%","6,81%","1,124270073","0,94","1 760,28571429","112,57142857","13 864,57142857","13,59%",31500,10500,3770,,,
2021-01-08,337743,2907,10440,186449,2798939,285606,,"0,87%","12,07%","0,87%",140854,"3,09%","55,20%",20865,24024,"12,10%",115,3454,5297,372,"41,70%",-90,5,"3,76%","7,02%","1,121558395","1,02","1 780,71428571","110,42857143","14 706,85714286","13,14%",42549,11049,"5102,428571",,,
2021-01-09,340459,2716,10554,193172,2820762,287833,,"0,80%","12,07%","0,78%",136733,"3,10%","56,74%",23281,21823,"12,45%",114,6723,5126,365,"40,16%",-171,-7,"3,75%","7,12%","1,215874978","1,09","1 967,28571429","110,42857143","16 296,28571429","13,04%",52032,9483,"6211,142857",,,
2021-01-10,342237,1778,10648,197936,2840024,289798,,"0,52%","12,05%","0,68%",133653,"3,11%","57,84%",22962,19262,"9,23%",94,4764,4980,357,"39,05%",-146,-8,"3,73%","7,17%","1,193297026","1,13","2 034,57142857","109,14285714","18 196,57142857","11,22%",61516,9484,"7319,857143",,,
2021-01-11,343656,1419,10725,203972,2852591,291081,,"0,41%","12,05%","0,44%",128959,"3,12%","59,35%",21979,12567,"11,29%",77,6036,5065,367,"37,53%",85,10,"3,93%","7,25%","1,215317682","1,15","2 115,00000000","106,85714286","18 745,14285714","11,44%",71000,9484,"8428,571429",,,
2021-01-12,344352,696,10853,209852,2860814,291920,,"0,20%","12,04%","0,29%",123647,"3,15%","60,94%",25532,8223,"8,46%",128,5880,5005,356,"35,91%",-60,-11,"4,05%","7,11%","1,204197531","1,17","2 090,14285714","110,42857143","18 988,28571429","10,74%",78579,7579,"9082,714286",,,
2021-01-13,345710,1358,10948,215453,2879364,293813,,"0,39%","12,01%","0,65%",119309,"3,17%","62,32%",25856,18550,"7,32%",95,5601,4870,339,"34,51%",-135,-17,"4,08%","6,96%","1,140449898","1,17","1 991,71428571","107,14285714","18 391,28571429","10,50%",86929,8350,"9418,428571",,,
2021-01-14,347636,1926,11066,220304,2898998,295816,,"0,56%","11,99%","0,68%",116266,"3,18%","63,37%",25646,19634,"9,81%",118,4851,4689,344,"33,44%",-181,5,"4,03%","7,34%","1,038792404","1,16","1 828,57142857","105,85714286","17 726,14285714","10,09%",96101,9172,"9228,714286",,,
2021-01-15,349149,1513,11177,225021,2918096,297765,,"0,44%","11,96%","0,66%",112951,"3,20%","64,45%",25678,19098,"7,92%",111,4717,4600,337,"32,35%",-89,-7,"4,07%","7,33%","0,9150421179","1,13","1 629,42857143","105,28571429","17 022,42857143","9,50%",105728,9627,"9025,571429",,,
2021-01-16,350587,1438,11264,227325,2936435,299636,,"0,41%","11,94%","0,63%",111998,"3,21%","64,84%",24874,18339,"7,84%",87,2304,4408,328,"31,95%",-192,-9,"3,94%","7,44%","0,7354585724","1,06","1 446,85714286","101,42857143","16 524,71428571","8,84%",112827,7099,8685,,,
2021-01-17,351828,1241,11341,228615,2953710,301399,,"0,35%","11,91%","0,59%",111872,"3,22%","64,98%",23083,17275,"7,18%",77,1290,4345,329,"31,80%",-63,1,"3,88%","7,57%","0,6734306979","0,99","1 370,14285714","99,00000000","16 240,85714286","8,55%",119944,7117,"8346,857143",,,
2021-01-18,352703,875,11409,230441,2963613,302409,,"0,25%","11,90%","0,34%",110853,"3,23%","65,34%",21648,9903,"8,84%",68,1826,4445,330,"31,43%",100,1,"4,01%","7,42%","0,6110773387","0,90","1 292,42857143","97,71428571","15 860,28571429","8,20%",123188,3244,"7455,428571",,,
2021-01-19,353276,573,11520,231915,2968743,302933,,"0,16%","11,90%","0,17%",109841,"3,26%","65,65%",18523,5130,"11,17%",111,1474,4445,309,"31,09%",0,-21,"4,05%","6,95%","0,6099378033","0,82","1 274,85714286","95,28571429","15 418,42857143","8,58%",129689,6501,"7301,428571",1643,1643,
2021-01-20,354252,976,11615,233232,2984748,304566,,"0,28%","11,87%","0,54%",109405,"3,28%","65,84%",20170,16005,"6,10%",95,1317,4218,294,"30,88%",-227,-15,"3,86%","6,97%","0,6126811074","0,74","1 220,28571429","95,28571429","15 054,85714286","8,41%",130318,629,"6198,428571",2939,1296,
2021-01-21,355662,1410,11713,235276,3000325,306156,,"0,40%","11,85%","0,52%",108673,"3,29%","66,15%",19932,15577,"9,05%",98,2044,4049,286,"30,56%",-169,-8,"3,73%","7,06%","0,62703125","0,68","1 146,57142857","92,42857143","14 475,28571429","8,30%",134554,4236,"5493,285714",4030,1091,
2021-01-22,356973,1311,11811,237362,3018389,307999,,"0,37%","11,83%","0,60%",107800,"3,31%","66,49%",19908,18064,"7,26%",98,2086,3959,274,"30,20%",-90,-12,"3,67%","6,92%","0,6859547607","0,65","1 117,71428571","90,57142857","14 327,57142857","8,21%",138983,4429,"4750,714286",5815,1785,
2021-01-23,358317,1344,11904,239880,3035627,309758,,"0,38%","11,80%","0,57%",106533,"3,32%","66,95%",20095,17238,"7,80%",93,2518,3854,259,"29,73%",-105,-15,"3,62%","6,72%","0,7632306477","0,65","1 104,28571429","91,42857143","14 170,28571429","8,20%",143184,4201,"4336,714286",6944,1129,
2021-01-24,359574,1257,11968,241472,3052068,311436,,"0,35%","11,78%","0,54%",106134,"3,33%","67,16%",18929,16441,"7,65%",64,1592,3793,254,"29,52%",-61,-5,"3,57%","6,70%","0,8076321551","0,67","1 106,57142857","89,57142857","14 051,14285714","8,26%",145257,2073,"3616,142857",8135,1191,
2021-01-25,360418,844,12024,243092,3062132,312462,,"0,23%","11,77%","0,33%",105302,"3,34%","67,45%",18141,10064,"8,39%",56,1620,3814,247,"29,22%",21,-7,"3,62%","6,48%","0,8527688737","0,71","1 102,14285714","87,85714286","14 074,14285714","8,20%",146695,1438,"3358,142857",9403,1268,"1343,285714"
2021-01-26,360877,459,12113,244681,3067663,313027,,"0,13%","11,76%","0,18%",104083,"3,36%","67,80%",18075,5531,"8,30%",89,1589,3815,263,"28,84%",1,16,"3,67%","6,89%","0,851748095","0,74","1 085,85714286","84,71428571","14 131,42857143","7,79%",149676,2981,"2855,285714",12639,3236,"1570,857143"
2021-01-27,361881,1004,12198,246596,3084716,314767,,"0,28%","11,73%","0,56%",103087,"3,37%","68,14%",17834,17053,"5,89%",85,1915,3809,255,"28,49%",-6,-8,"3,69%","6,69%","0,8931163662","0,78","1 089,85714286","83,28571429","14 281,14285714","7,76%",152704,3028,3198,17772,5133,2119
2021-01-28,363450,1569,12291,249003,3097809,316103,,"0,43%","11,73%","0,42%",102156,"3,38%","68,51%",19131,13093,"11,98%",93,2407,3669,255,"28,11%",-140,0,"3,59%","6,95%","0,9703463743","0,83","1 112,57142857","82,57142857","13 926,28571429","8,18%",161215,8511,"3808,714286",26293,8521,"3180,428571"
2021-01-29,364909,1459,12374,254783,3116784,318039,,"0,40%","11,71%","0,61%",97752,"3,39%","69,82%",17540,18975,"7,69%",83,5780,3649,258,"26,79%",-20,3,"3,73%","7,07%","1,014314928","0,88","1 133,71428571","80,42857143","14 056,42857143","8,24%",175283,14068,"5185,714286",37727,11434,"4558,857143"
2021-01-30,366279,1370,12463,259555,3138146,320219,,"0,38%","11,67%","0,69%",94261,"3,40%","70,86%",20147,21362,"6,41%",89,4772,3582,264,"25,73%",-67,6,"3,80%","7,37%","1,030012937","0,92","1 137,42857143","79,85714286","14 645,57142857","8,04%",198283,23000,"7871,285714",49606,11879,"6094,571429"
2021-01-31,367586,1307,12524,262968,3158288,322274,,"0,36%","11,64%","0,64%",92094,"3,41%","71,54%",19075,20142,"6,49%",61,3413,3562,268,"25,05%",-20,4,"3,87%","7,52%","1,034340305","0,95","1 144,57142857","79,42857143","15 174,28571429","7,88%",222005,23722,10964,56825,7219,"6955,714286"
2021-02-01,368710,1124,12578,264260,3169150,323383,,"0,31%","11,63%","0,34%",91872,"3,41%","71,67%",13810,10862,"10,35%",54,1292,3682,273,"24,92%",120,5,"4,01%","7,41%","1,074789371","0,98","1 184,57142857","79,14285714","15 288,28571429","8,16%",237872,15867,"13025,28571",61266,4441,7409
2021-02-02,369288,578,12656,268803,3176944,324178,,"0,16%","11,62%","0,25%",87829,"3,43%","72,79%",18030,7794,"7,42%",78,4543,3729,272,"23,78%",47,-1,"4,25%","7,29%","1,106564926","1,02","1 201,57142857","77,57142857","15 611,57142857","8,03%",243036,5164,"13337,14286",68526,7260,"7983,857143"
2021-02-03,370336,1048,12739,272284,3192378,325753,,"0,28%","11,60%","0,49%",85313,"3,44%","73,52%",18337,15434,"6,79%",83,3481,3697,269,"23,04%",-32,-3,"4,33%","7,28%","1,108271071","1,05","1 207,85714286","77,28571429","15 380,28571429","8,16%",247270,4234,"13509,42857",75036,6510,"8180,571429"
2021-02-04,371988,1652,12832,274308,3210549,327607,,"0,45%","11,59%","0,57%",84848,"3,45%","73,74%",19633,18171,"9,09%",93,2024,3648,289,"22,81%",-49,20,"4,30%","7,92%","1,096302003","1,07","1 219,71428571","77,28571429","16 105,71428571","7,75%",249687,2417,"12638,85714",84452,9416,"8308,428571"
2021-02-05,373564,1576,12930,275764,3229242,329514,,"0,42%","11,57%","0,58%",84870,"3,46%","73,82%",20254,18693,"8,43%",98,1456,3638,302,"22,72%",-10,13,"4,29%","8,30%","1,090599798","1,08","1 236,42857143","79,42857143","16 065,42857143","7,85%",264530,14843,"12749,57143",92773,8321,"7863,714286"
2021-02-06,375125,1561,13026,277949,3246838,331310,,"0,42%","11,55%","0,54%",84150,"3,47%","74,10%",18124,17596,"8,87%",96,2185,3601,298,"22,43%",-37,-4,"4,28%","8,28%","1,11102738","1,09","1 263,71428571","80,42857143","15 527,42857143","8,21%",279410,14880,"11589,57143",101652,8879,"7435,142857"
2021-02-07,376495,1370,13090,279763,3265862,333251,,"0,37%","11,53%","0,59%",83642,"3,48%","74,31%",19510,19024,"7,20%",64,1814,3578,291,"22,22%",-23,-7,"4,28%","8,13%","1,111957064","1,10","1 272,71428571","80,85714286","15 367,71428571","8,31%",286379,6969,"9196,285714",105242,3590,"6916,714286"
2021-02-08,377655,1160,13155,281839,3275582,334243,,"0,31%","11,53%","0,30%",82661,"3,48%","74,63%",15847,9720,"11,93%",65,2076,3717,295,"21,89%",139,4,"4,50%","7,94%","1,078750603","1,10","1 277,85714286","82,42857143","15 204,57142857","8,53%",289042,2663,7310,107592,2350,6618
2021-02-09,378734,1079,13249,283282,3281992,334897,,"0,29%","11,54%","0,20%",82203,"3,50%","74,80%",16850,6410,"16,83%",94,1443,3792,304,"21,70%",75,9,"4,61%","8,02%","1,123053145","1,10","1 349,42857143","84,71428571","15 006,85714286","9,88%",291396,2354,"6908,571429",110395,2803,"5981,285714"
2021-02-10,380013,1279,13347,285022,3298814,336614,,"0,34%","11,52%","0,51%",81644,"3,51%","75,00%",19414,16822,"7,60%",98,1740,3747,296,"21,48%",-45,-8,"4,59%","7,90%","1,144529864","1,11","1 382,42857143","86,85714286","15 205,14285714","10,00%",292627,1231,"6479,571429",113570,3175,"5504,857143"
2021-02-11,381875,1862,13444,287134,3318850,338658,,"0,49%","11,51%","0,61%",81297,"3,52%","75,19%",21456,20036,"9,29%",97,2112,3799,299,"21,29%",52,3,"4,67%","7,87%","1,157999532","1,12","1 412,42857143","87,42857143","15 471,57142857","10,02%",294624,1997,"6419,571429",117368,3798,"4702,285714"
2021-02-12,383735,1860,13543,289520,3338289,340642,,"0,49%","11,49%","0,59%",80672,"3,53%","75,45%",22525,19439,"9,57%",99,2386,3828,299,"21,02%",29,0,"4,75%","7,81%","1,175158868","1,13","1 453,00000000","87,57142857","15 578,14285714","10,19%",310448,15824,"6559,714286",120649,3281,"3982,285714"
2021-02-13,385755,2020,13636,293542,3357672,342620,,"0,53%","11,49%","0,58%",78577,"3,53%","76,10%",20794,19383,"10,42%",93,4022,3771,299,"20,37%",-57,0,"4,80%","7,93%","1,201673073","1,14","1 518,57142857","87,14285714","15 833,42857143","10,41%",330745,20297,"7333,571429",124423,3774,3253
2021-02-14,387462,1707,13706,296173,3377187,344611,,"0,44%","11,47%","0,58%",77583,"3,54%","76,44%",19927,19515,"8,75%",70,2631,3755,312,"20,02%",-16,13,"4,84%","8,31%","1,231002357","1,16","1 566,71428571","88,00000000","15 903,57142857","10,63%",335188,4443,"6972,714286",128195,3772,3279
2021-02-15,388799,1337,13752,298008,3388457,345761,,"0,35%","11,47%","0,33%",77039,"3,54%","76,65%",20718,11270,"11,86%",46,1835,3883,314,"19,81%",128,2,"5,04%","8,09%","1,245835662","1,18","1 592,00000000","85,28571429","16 125,00000000","10,62%",336297,1109,"6750,714286",129339,1144,"3106,714286"
2021-02-16,389622,823,13837,298773,3394684,346396,,"0,21%","11,48%","0,18%",77012,"3,55%","76,68%",20224,6227,"13,22%",85,765,3979,318,"19,77%",96,4,"5,17%","7,99%","1,152657209","1,19","1 555,42857143","84,00000000","16 098,85714286","10,10%",341958,5661,"7223,142857",131593,2254,"3028,285714"
2021-02-17,391170,1548,13931,299989,3414023,348370,,"0,40%","11,46%","0,57%",77250,"3,56%","76,69%",18205,19339,"8,00%",94,1216,4014,321,"19,75%",35,3,"5,20%","8,00%","1,152939961","1,19","1 593,85714286","83,42857143","16 458,42857143","10,16%",348927,6969,"8042,857143",134824,3231,"3036,285714"
2021-02-18,394023,2853,14035,301363,3434878,350498,,"0,73%","11,47%","0,61%",78625,"3,56%","76,48%",22893,20855,"13,68%",104,1374,4021,332,"19,95%",7,11,"5,11%","8,26%","1,228684131","1,20","1 735,42857143","84,42857143","16 575,42857143","10,79%",365021,16094,"10056,71429",141023,6199,"3379,285714"
2021-02-19,397116,3093,14145,302689,3457538,352810,,"0,78%","11,49%","0,66%",80282,"3,56%","76,22%",25536,22660,"13,65%",110,1326,4024,352,"20,22%",3,20,"5,01%","8,75%","1,315603186","1,22","1 911,57142857","86,00000000","17 035,57142857","11,37%",391821,26800,"11624,71429",152432,11409,"4540,428571"
2021-02-20,400111,2995,14252,304680,3480444,355147,,"0,75%","11,50%","0,66%",81179,"3,56%","76,15%",26068,22906,"13,08%",107,1991,4147,351,"20,29%",123,-1,"5,11%","8,46%","1,350517404","1,24","2 050,85714286","88,00000000","17 538,85714286","11,75%",427309,35488,"13794,85714",172739,20307,"6902,285714"
2021-02-21,403023,2912,14299,306621,3503611,357511,,"0,73%","11,50%","0,67%",82103,"3,55%","76,08%",27179,23167,"12,57%",47,1941,4233,366,"20,37%",86,15,"5,16%","8,65%","1,418893043","1,27","2 223,00000000","84,71428571","18 060,57142857","12,29%",445535,18226,"15763,85714",190705,17966,8930
2021-02-22,405646,2623,14347,308650,3519536,359136,,"0,65%","11,53%","0,45%",82649,"3,54%","76,09%",25589,15925,"16,47%",48,2029,4489,394,"20,37%",256,28,"5,43%","8,78%","1,511755205","1,30","2 406,71428571","85,00000000","18 725,57142857","12,95%",453457,7922,"16737,14286",201005,10300,10238
2021-02-23,407274,1628,14450,310848,3528862,360088,,"0,40%","11,54%","0,26%",81976,"3,55%","76,32%",26549,9326,"17,46%",103,2198,4582,396,"20,13%",93,2,"5,59%","8,64%","1,621234386","1,37","2 521,71428571","87,57142857","19 168,28571429","13,56%",457096,3639,"16448,28571",205720,4715,"10589,57143"
2021-02-24,410129,2855,14552,313450,3552261,362476,,"0,70%","11,55%","0,66%",82127,"3,55%","76,43%",27737,23399,"12,20%",102,2602,4353,407,"20,02%",-229,11,"5,30%","9,35%","1,699291924","1,45","2 708,42857143","88,71428571","19 748,28571429","14,16%",471004,13908,"17439,57143",208846,3126,"10574,57143"
2021-02-25,414514,4385,14672,315781,3577770,365079,,"1,07%","11,59%","0,72%",84061,"3,54%","76,18%",29389,25509,"17,19%",120,2331,4836,411,"20,28%",483,4,"5,75%","8,50%","1,686779717","1,51","2 927,28571429","91,00000000","20 413,14285714","14,66%",508073,37069,20436,211073,2227,"10007,14286"
