,DÁTUM,5,25,45,65,85,105
28,2021-03-02 00:00:00,0.0,4.7516999206466113e-07,1.4327791940402116e-06,5.3564589521159356e-06,5.2277130293059444e-05,0.00019341064800005952
29,2021-03-01 00:00:00,0.0,0.0,7.163895970201058e-07,7.269480006443055e-06,3.198130323810695e-05,8.182758184617903e-05
30,2021-02-28 00:00:00,0.0,0.0,0.0,1.5304168434616958e-06,3.198130323810695e-05,0.00011902193723080585
31,2021-02-27 00:00:00,0.0,0.0,3.581947985100529e-07,6.886875795577631e-06,3.690150373627725e-05,0.00020828839015391023
32,2021-02-26 00:00:00,0.0,0.0,7.163895970201058e-07,5.7390631629813595e-06,4.366677942126142e-05,0.0002603604876923878
33,2021-02-25 00:00:00,0.0,0.0,0.0,8.034688428173903e-06,4.4281804483532706e-05,0.0002008495190769849
34,2021-02-24 00:00:00,0.0,0.0,7.163895970201058e-07,5.7390631629813595e-06,3.813155386081983e-05,0.00017109403476928343
35,2021-02-23 00:00:00,0.0,0.0,0.0,6.886875795577631e-06,4.243672929671884e-05,0.00011902193723080585
36,2021-02-22 00:00:00,0.0,0.0,0.0,1.5304168434616958e-06,1.722070174359605e-05,0.00011902193723080585
37,2021-02-21 00:00:00,0.0,0.0,0.0,1.9130210543271195e-06,1.8450751868138625e-05,8.926645292310439e-05
38,2021-02-20 00:00:00,0.0,0.0,1.0745843955301586e-06,6.504271584712207e-06,4.243672929671884e-05,0.0001338996793846566
39,2021-02-19 00:00:00,0.0,0.0,3.581947985100529e-07,4.208646319519663e-06,4.797195485716043e-05,0.0001487774215385073
40,2021-02-18 00:00:00,0.0,0.0,0.0,5.3564589521159356e-06,3.997662904763369e-05,0.00018597177692313414
41,2021-02-17 00:00:00,0.0,0.0,1.0745843955301586e-06,4.973854741250512e-06,3.690150373627725e-05,0.0001338996793846566
42,2021-02-16 00:00:00,0.0,0.0,1.0745843955301586e-06,2.6782294760579678e-06,2.7061102739936652e-05,0.00023060500338468635
43,2021-02-15 00:00:00,0.0,0.0,0.0,2.6782294760579678e-06,1.783572680586734e-05,7.438871076925365e-05
44,2021-02-14 00:00:00,0.0,0.0,1.0745843955301586e-06,6.504271584712207e-06,2.1525877179495064e-05,0.00011158306615388049
45,2021-02-13 00:00:00,0.0,0.0,0.0,4.208646319519663e-06,3.93616039853624e-05,0.0001338996793846566
46,2021-02-12 00:00:00,0.0,4.7516999206466113e-07,1.4327791940402116e-06,5.3564589521159356e-06,3.690150373627725e-05,0.0001487774215385073
47,2021-02-11 00:00:00,0.0,0.0,7.163895970201058e-07,3.0608336869233917e-06,4.305175435899013e-05,0.00012646080830773122
48,2021-02-10 00:00:00,0.0,0.0,0.0,7.269480006443055e-06,3.44414034871921e-05,0.00017109403476928343
49,2021-02-09 00:00:00,0.0,0.0,0.0,4.973854741250512e-06,3.382637842492082e-05,0.00019341064800005952
50,2021-02-08 00:00:00,0.0,0.0,3.581947985100529e-07,3.4434378977888156e-06,2.1525877179495064e-05,0.0001487774215385073
51,2021-02-07 00:00:00,0.0,0.0,7.163895970201058e-07,2.6782294760579678e-06,2.275592730403764e-05,0.0001338996793846566
52,2021-02-06 00:00:00,0.0,0.0,3.581947985100529e-07,5.3564589521159356e-06,3.321135336264953e-05,0.0002008495190769849
53,2021-02-05 00:00:00,0.0,0.0,7.163895970201058e-07,7.269480006443055e-06,3.382637842492082e-05,0.00016365516369235805
54,2021-02-04 00:00:00,0.0,0.0,0.0,3.4434378977888156e-06,3.628647867400597e-05,0.00018597177692313414
55,2021-02-03 00:00:00,0.0,0.0,7.163895970201058e-07,5.7390631629813595e-06,3.198130323810695e-05,0.00010414419507695512
56,2021-02-02 00:00:00,0.0,0.0,1.0745843955301586e-06,4.208646319519663e-06,2.9521202989021802e-05,0.00011902193723080585
57,2021-02-01 00:00:00,0.0,0.0,0.0,3.826042108654239e-06,2.2140902241766353e-05,5.9510968615402924e-05
58,2021-01-31 00:00:00,0.0,0.0,3.581947985100529e-07,3.826042108654239e-06,2.029582705495249e-05,0.00012646080830773122
59,2021-01-30 00:00:00,0.0,0.0,0.0,3.0608336869233917e-06,3.382637842492082e-05,0.00019341064800005952
60,2021-01-29 00:00:00,0.0,0.0,3.581947985100529e-07,4.208646319519663e-06,3.136627817583566e-05,0.0001487774215385073
61,2021-01-28 00:00:00,0.0,0.0,1.4327791940402116e-06,3.0608336869233917e-06,3.382637842492082e-05,0.00019341064800005952
62,2021-01-27 00:00:00,0.0,0.0,3.581947985100529e-07,5.3564589521159356e-06,3.198130323810695e-05,0.0001338996793846566
63,2021-01-26 00:00:00,0.0,0.0,0.0,5.3564589521159356e-06,3.075125311356438e-05,0.00018597177692313414
64,2021-01-25 00:00:00,0.0,0.0,0.0,4.591250530385087e-06,1.8450751868138625e-05,0.00010414419507695512
65,2021-01-24 00:00:00,0.0,0.0,7.163895970201058e-07,4.973854741250512e-06,2.275592730403764e-05,8.926645292310439e-05
66,2021-01-23 00:00:00,0.0,0.0,3.581947985100529e-07,6.121667373846783e-06,3.321135336264953e-05,0.00016365516369235805
67,2021-01-22 00:00:00,0.0,0.0,0.0,4.973854741250512e-06,3.567145361173468e-05,0.0002008495190769849
68,2021-01-21 00:00:00,0.0,0.0,3.581947985100529e-07,6.886875795577631e-06,3.505642854946339e-05,0.00016365516369235805
69,2021-01-20 00:00:00,0.0,0.0,7.163895970201058e-07,3.826042108654239e-06,4.059165410990498e-05,0.00012646080830773122
70,2021-01-19 00:00:00,0.0,0.0,7.163895970201058e-07,6.504271584712207e-06,3.997662904763369e-05,0.0002008495190769849
71,2021-01-18 00:00:00,0.0,0.0,3.581947985100529e-07,4.208646319519663e-06,2.1525877179495064e-05,0.00015621629261543268
72,2021-01-17 00:00:00,0.0,0.0,0.0,4.208646319519663e-06,3.075125311356438e-05,0.00011902193723080585
73,2021-01-16 00:00:00,0.0,0.0,3.581947985100529e-07,2.6782294760579678e-06,3.628647867400597e-05,0.0001487774215385073
74,2021-01-15 00:00:00,0.0,0.0,3.581947985100529e-07,8.034688428173903e-06,3.997662904763369e-05,0.00017853290584620877
75,2021-01-14 00:00:00,0.0,0.0,3.581947985100529e-07,6.121667373846783e-06,4.305175435899013e-05,0.00023060500338468635
76,2021-01-13 00:00:00,0.0,0.0,7.163895970201058e-07,5.7390631629813595e-06,3.567145361173468e-05,0.0001487774215385073
77,2021-01-12 00:00:00,0.0,0.0,0.0,5.3564589521159356e-06,5.1662105230788155e-05,0.00022316613230776098
78,2021-01-11 00:00:00,0.0,0.0,3.581947985100529e-07,3.826042108654239e-06,2.5831052615394077e-05,0.00017853290584620877
79,2021-01-10 00:00:00,0.0,0.0,1.0745843955301586e-06,4.973854741250512e-06,3.505642854946339e-05,0.00015621629261543268
80,2021-01-09 00:00:00,0.0,0.0,0.0,1.0330313693366446e-05,3.382637842492082e-05,0.0002380438744616117
81,2021-01-08 00:00:00,0.0,0.0,3.581947985100529e-07,4.591250530385087e-06,4.489682954580399e-05,0.0002157272612308356
82,2021-01-07 00:00:00,0.0,0.0,1.4327791940402116e-06,6.121667373846783e-06,4.551185460807528e-05,0.0002454827455385371
83,2021-01-06 00:00:00,0.0,0.0,7.163895970201058e-07,5.3564589521159356e-06,4.305175435899013e-05,0.0002380438744616117
